name,value,source,status,suggested_default
ImageNet: Image Resizing (Shorter Side),"[256, 480]",3.4. Implementation,paper-stated,
ImageNet: Crop Size,224x224,3.4. Implementation,paper-stated,
ImageNet: Optimizer,SGD,3.4. Implementation,paper-stated,
ImageNet: Mini-batch Size,256,3.4. Implementation,paper-stated,
ImageNet: Initial Learning Rate,0.1,3.4. Implementation,paper-stated,
ImageNet: Learning Rate Schedule,divided by 10 when the error plateaus,3.4. Implementation,paper-stated,
ImageNet: Total Iterations,up to 60e4,3.4. Implementation,paper-stated,
ImageNet: Weight Decay,0.0001,3.4. Implementation,paper-stated,
ImageNet: Momentum,0.9,3.4. Implementation,paper-stated,
ImageNet: Dropout,not used,3.4. Implementation,paper-stated,
ImageNet: Multi-scale Testing (Shorter Side),"{224, 256, 384, 480, 640}",3.4. Implementation,paper-stated,
CIFAR-10: Input Size,32x32,4.2. CIFAR-10 and Analysis,paper-stated,
CIFAR-10: Data Augmentation Padding,4 pixels on each side,4.2. CIFAR-10 and Analysis,paper-stated,
CIFAR-10: Data Augmentation Crop Size,32x32,4.2. CIFAR-10 and Analysis,paper-stated,
CIFAR-10: Weight Decay,0.0001,4.2. CIFAR-10 and Analysis,paper-stated,
CIFAR-10: Momentum,0.9,4.2. CIFAR-10 and Analysis,paper-stated,
CIFAR-10: Dropout,not used,4.2. CIFAR-10 and Analysis,paper-stated,
CIFAR-10: Mini-batch Size,128,4.2. CIFAR-10 and Analysis,paper-stated,
CIFAR-10: Initial Learning Rate,0.1,4.2. CIFAR-10 and Analysis,paper-stated,
CIFAR-10: Learning Rate Schedule,divide by 10 at 32k and 48k iterations,4.2. CIFAR-10 and Analysis,paper-stated,
CIFAR-10: Total Iterations,64k,4.2. CIFAR-10 and Analysis,paper-stated,
CIFAR-10: ResNet-110 Warmup LR,0.01,4.2. CIFAR-10 and Analysis,paper-stated,
CIFAR-10: ResNet-110 Warmup Duration,until training error is below 80% (about 400 iterations),4.2. CIFAR-10 and Analysis,paper-stated,
Object Detection: RPN Proposals,300,A. Object Detection Baselines,paper-stated,
Object Detection (COCO): RPN Mini-batch Size,8 images,A. Object Detection Baselines,paper-stated,
Object Detection (COCO): Fast R-CNN Mini-batch Size,16 images,A. Object Detection Baselines,paper-stated,
Object Detection (COCO): Initial Learning Rate,0.001,A. Object Detection Baselines,paper-stated,
Object Detection (COCO): Learning Rate Schedule,"0.001 for 240k iterations, then 0.0001 for 80k iterations",A. Object Detection Baselines,paper-stated,
Object Detection (Improvements): NMS IoU Threshold,0.3,B. Object Detection Improvements,paper-stated,
Object Detection (Improvements): Multi-scale Testing (Shorter Side),"{200, 400, 600, 800, 1000}",B. Object Detection Improvements,paper-stated,
Localization: Mini-batch Size,256,C. ImageNet Localization,paper-stated,
Localization: Anchor Sampling Ratio (Pos:Neg),1:1,C. ImageNet Localization,paper-stated,
Localization: Anchors Sampled per Image,8,C. ImageNet Localization,paper-stated,
